[Name],,,,
Plane 1,,,,
,,,,
[Data],,,,
X [ m ], Y [ m ], Velocity u [ m s^-1 ], Velocity v [ m s^-1 ], Pressure [ Pa ]
-1.50E+00,-9.70E-01,1.76E-02, 0.00000000e+00, 7.24356174e-02
-1.50E+00,-1.00E+00,0.00E+00, 0.00000000e+00, 7.24206269e-02
-1.47E+00,-1.00E+00,0.00E+00, 0.00000000e+00, 7.23360181e-02
-1.47E+00,-9.70E-01,1.76E-02,-1.05E-05, 7.23471195e-02
-1.44E+00,-1.00E+00,0.00E+00, 0.00000000e+00, 7.21718073e-02
-1.44E+00,-9.70E-01,1.76E-02,-9.34E-06, 7.21765682e-02
-1.41E+00,-1.00E+00,0.00E+00, 0.00000000e+00, 7.20041320e-02
-1.41E+00,-9.70E-01,1.76E-02,-5.66E-06, 7.20056444e-02
-1.38E+00,-1.00E+00,0.00E+00, 0.00000000e+00, 7.18279332e-02
-1.38E+00,-9.70E-01,1.76E-02,-1.25E-06, 7.18288124e-02
-1.35E+00,-1.00E+00,0.00E+00, 0.00000000e+00, 7.16499090e-02
-1.35E+00,-9.70E-01,1.76E-02, 1.96723386e-06, 7.16506839e-02
-1.32E+00,-1.00E+00,0.00E+00, 0.00000000e+00, 7.14703351e-02
-1.32E+00,-9.70E-01,1.76E-02, 4.71113299e-06, 7.14710802e-02
-1.29E+00,-1.00E+00,0.00E+00, 0.00000000e+00, 7.12909475e-02
-1.29E+00,-9.70E-01,1.77E-02, 6.58968884e-06, 7.12917894e-02
-1.26E+00,-1.00E+00,0.00E+00, 0.00000000e+00, 7.11116642e-02
-1.26E+00,-9.70E-01,1.77E-02, 7.93094478e-06, 7.11124912e-02
-1.23E+00,-1.00E+00,0.00E+00, 0.00000000e+00, 7.09327683e-02
-1.23E+00,-9.70E-01,1.77E-02, 8.97093832e-06, 7.09336326e-02
-1.20E+00,-1.00E+00,0.00E+00, 0.00000000e+00, 7.07544684e-02
-1.20E+00,-9.70E-01,1.76E-02, 9.48793422e-06, 7.07553849e-02
-1.17E+00,-1.00E+00,0.00E+00, 0.00000000e+00, 7.05768242e-02
-1.17E+00,-9.70E-01,1.76E-02, 9.64381979e-06, 7.05777928e-02
-1.14E+00,-1.00E+00,0.00E+00, 0.00000000e+00, 7.03998953e-02
-1.14E+00,-9.70E-01,1.76E-02, 9.45180636e-06, 7.04003796e-02
-1.11E+00,-1.00E+00,0.00E+00, 0.00000000e+00, 7.02236593e-02
-1.11E+00,-9.70E-01,1.76E-02, 8.65027414e-06, 7.02237859e-02
-1.08E+00,-1.00E+00,0.00E+00, 0.00000000e+00, 7.00479895e-02
-1.08E+00,-9.70E-01,1.76E-02, 7.39843517e-06, 7.00479075e-02
-1.05E+00,-1.00E+00,0.00E+00, 0.00000000e+00, 6.98728114e-02
-1.05E+00,-9.70E-01,1.76E-02, 5.81847598e-06, 6.98728785e-02
-1.02E+00,-1.00E+00,0.00E+00, 0.00000000e+00, 6.96980655e-02
-1.02E+00,-9.70E-01,1.76E-02, 3.75105242e-06, 6.96980134e-02
-9.90E-01,-1.00E+00,0.00E+00, 0.00000000e+00, 6.95235655e-02
-9.90E-01,-9.70E-01,1.76E-02, 1.09655139e-06, 6.95235133e-02
-1.50E+00,-7.31E-01,1.39E-01, 0.00000000e+00, 7.24718720e-02
-1.50E+00,-7.61E-01,1.26E-01, 0.00000000e+00, 7.24772811e-02
-1.47E+00,-7.31E-01,1.39E-01, 5.04098716e-05, 7.23724291e-02
-1.47E+00,-7.61E-01,1.26E-01, 3.72791110e-05, 7.23779127e-02
-1.50E+00,-7.91E-01,1.12E-01, 0.00000000e+00, 7.24799410e-02
-1.47E+00,-7.91E-01,1.12E-01, 2.52572827e-05, 7.23808035e-02
-1.50E+00,-8.21E-01,9.78E-02, 0.00000000e+00, 7.24799857e-02
-1.47E+00,-8.21E-01,9.76E-02, 1.43180123e-05, 7.23813400e-02
-1.50E+00,-8.51E-01,8.28E-02, 0.00000000e+00, 7.24776387e-02
-1.47E+00,-8.51E-01,8.27E-02, 4.43581666e-06, 7.23797679e-02
-1.50E+00,-8.81E-01,6.73E-02, 0.00000000e+00, 7.24732280e-02
-1.47E+00,-8.81E-01,6.72E-02,-4.23E-06, 7.23764673e-02
-1.50E+00,-9.10E-01,5.13E-02, 0.00000000e+00, 7.24663660e-02
-1.47E+00,-9.11E-01,5.11E-02,-1.10E-05, 7.23711997e-02
-1.50E+00,-9.40E-01,3.47E-02, 0.00000000e+00, 7.24564046e-02
-1.47E+00,-9.40E-01,3.46E-02,-1.59E-05, 7.23631307e-02
-1.44E+00,-9.40E-01,3.46E-02,-1.41E-05, 7.21839741e-02
-1.41E+00,-9.40E-01,3.46E-02,-6.90E-06, 7.20085129e-02
-1.38E+00,-9.40E-01,3.46E-02, 1.18451453e-06, 7.18306676e-02
-1.35E+00,-9.41E-01,3.46E-02, 8.37195876e-06, 7.16524050e-02
-1.32E+00,-9.40E-01,3.46E-02, 1.49590924e-05, 7.14729130e-02
-1.29E+00,-9.40E-01,3.47E-02, 2.00168688e-05, 7.12938681e-02
-1.26E+00,-9.40E-01,3.48E-02, 2.39461115e-05, 7.11148009e-02
-1.23E+00,-9.40E-01,3.48E-02, 2.70689052e-05, 7.09361434e-02
-1.20E+00,-9.40E-01,3.47E-02, 2.87016683e-05, 7.07580820e-02
-1.17E+00,-9.40E-01,3.47E-02, 2.91094711e-05, 7.05805719e-02
-1.14E+00,-9.40E-01,3.47E-02, 2.84768175e-05, 7.04017356e-02
-1.11E+00,-9.40E-01,3.47E-02, 2.63598849e-05, 7.02242553e-02
-1.08E+00,-9.40E-01,3.47E-02, 2.28070458e-05, 7.00478703e-02
-1.05E+00,-9.40E-01,3.47E-02, 1.79036779e-05, 6.98728785e-02
-1.02E+00,-9.40E-01,3.46E-02, 1.15762414e-05, 6.96976408e-02
-9.89E-01,-9.40E-01,3.46E-02, 3.70942871e-06, 6.95231408e-02
-1.44E+00,-7.32E-01,1.39E-01, 1.03062208e-04, 7.21843243e-02
-1.44E+00,-7.61E-01,1.26E-01, 7.80297414e-05, 7.21903443e-02
-1.44E+00,-7.91E-01,1.12E-01, 5.52461643e-05, 7.21935555e-02
-1.44E+00,-8.21E-01,9.76E-02, 3.48357898e-05, 7.21947327e-02
-1.44E+00,-8.51E-01,8.26E-02, 1.70035710e-05, 7.21941292e-02
-1.44E+00,-8.81E-01,6.71E-02, 2.22553035e-06, 7.21921697e-02
-1.44E+00,-9.11E-01,5.11E-02,-8.30E-06, 7.21887946e-02
-1.41E+00,-7.32E-01,1.39E-01, 1.58980518e-04, 7.20040947e-02
-1.41E+00,-7.62E-01,1.26E-01, 1.21994053e-04, 7.20105767e-02
-1.41E+00,-7.92E-01,1.12E-01, 8.86804337e-05, 7.20142424e-02
-1.41E+00,-8.21E-01,9.75E-02, 5.92405195e-05, 7.20157400e-02
-1.41E+00,-8.51E-01,8.25E-02, 3.40906627e-05, 7.20155239e-02
-1.41E+00,-8.81E-01,6.70E-02, 1.39005297e-05, 7.20140114e-02
-1.41E+00,-9.11E-01,5.11E-02, 6.04924253e-08, 7.20114335e-02
-1.38E+00,-9.11E-01,5.10E-02, 1.09617604e-05, 7.18328580e-02
-1.35E+00,-9.11E-01,5.10E-02, 2.21134978e-05, 7.16543645e-02
-1.32E+00,-9.11E-01,5.11E-02, 3.30275507e-05, 7.14751482e-02
-1.29E+00,-9.10E-01,5.12E-02, 4.19643111e-05, 7.12961704e-02
-1.26E+00,-9.10E-01,5.12E-02, 4.90343809e-05, 7.11172074e-02
-1.23E+00,-9.10E-01,5.12E-02, 5.47378695e-05, 7.09386766e-02
-1.20E+00,-9.10E-01,5.12E-02, 5.79922453e-05, 7.07610101e-02
-1.17E+00,-9.10E-01,5.12E-02, 5.89395531e-05, 7.05834925e-02
-1.14E+00,-9.10E-01,5.13E-02, 5.79241059e-05, 7.04041421e-02
-1.11E+00,-9.10E-01,5.13E-02, 5.40649817e-05, 7.02258721e-02
-1.08E+00,-9.10E-01,5.13E-02, 4.72326283e-05, 7.00486749e-02
-1.05E+00,-9.10E-01,5.12E-02, 3.75698328e-05, 6.98731020e-02
-1.02E+00,-9.10E-01,5.12E-02, 2.48501237e-05, 6.96974322e-02
-9.89E-01,-9.10E-01,5.11E-02, 9.07003505e-06, 6.95224181e-02
-1.38E+00,-8.81E-01,6.70E-02, 2.86973282e-05, 7.18348324e-02
